时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:03,21.45,0.0,7593,16286985,卖盘,603367,2025-10-17 22:50:31
09:30:00,21.5,0.05,964,2070948,买盘,603367,2025-10-17 22:50:31
09:30:03,21.5,0.0,859,1840263,买盘,603367,2025-10-17 22:50:31
09:30:06,21.51,0.01,2099,4501926,买盘,603367,2025-10-17 22:50:31
09:30:09,21.51,0.0,1209,2600590,卖盘,603367,2025-10-17 22:50:31
09:30:12,21.52,0.01,1244,2678761,买盘,603367,2025-10-17 22:50:31
09:30:15,21.5,-0.02,1886,4050077,卖盘,603367,2025-10-17 22:50:31
09:30:18,21.57,0.07,1206,2594110,买盘,603367,2025-10-17 22:50:31
09:30:21,21.55,-0.02,1616,3475759,卖盘,603367,2025-10-17 22:50:31
09:30:24,21.52,-0.03,1539,3318034,卖盘,603367,2025-10-17 22:50:31
09:30:27,21.53,0.01,989,2133206,中性盘,603367,2025-10-17 22:50:31
09:30:30,21.62,0.09,1279,2757990,买盘,603367,2025-10-17 22:50:31
09:30:33,21.66,0.04,1353,2927529,买盘,603367,2025-10-17 22:50:31
09:30:36,21.69,0.03,715,1550871,买盘,603367,2025-10-17 22:50:31
09:30:39,21.71,0.02,438,951181,买盘,603367,2025-10-17 22:50:31
09:30:42,21.8,0.09,795,1730097,买盘,603367,2025-10-17 22:50:31
09:30:45,21.76,-0.04,984,2142440,买盘,603367,2025-10-17 22:50:31
09:30:48,21.83,0.07,498,1084945,买盘,603367,2025-10-17 22:50:31
09:30:51,21.85,0.02,772,1685398,买盘,603367,2025-10-17 22:50:31
09:30:54,21.85,0.0,1170,2557001,买盘,603367,2025-10-17 22:50:31
09:30:57,21.85,0.0,447,977544,卖盘,603367,2025-10-17 22:50:31
09:31:00,21.9,0.05,1126,2462257,买盘,603367,2025-10-17 22:50:31
09:31:03,21.84,-0.06,1504,3287498,卖盘,603367,2025-10-17 22:50:31
09:31:06,21.84,0.0,919,2006539,卖盘,603367,2025-10-17 22:50:31
09:31:09,21.76,-0.08,739,1611152,卖盘,603367,2025-10-17 22:50:31
09:31:12,21.84,0.08,1265,2753691,买盘,603367,2025-10-17 22:50:31
09:31:15,21.76,-0.08,451,982439,卖盘,603367,2025-10-17 22:50:31
09:31:18,21.76,0.0,1191,2589110,买盘,603367,2025-10-17 22:50:31
09:31:21,21.76,0.0,440,957319,中性盘,603367,2025-10-17 22:50:31
09:31:24,21.75,-0.01,819,1780668,卖盘,603367,2025-10-17 22:50:31
09:31:27,21.75,0.0,1190,2585382,买盘,603367,2025-10-17 22:50:31
09:31:30,21.73,-0.02,851,1850658,卖盘,603367,2025-10-17 22:50:31
09:31:33,21.73,0.0,538,1169517,买盘,603367,2025-10-17 22:50:31
09:31:36,21.73,0.0,657,1426592,买盘,603367,2025-10-17 22:50:31
09:31:39,21.7,-0.03,2761,6013181,中性盘,603367,2025-10-17 22:50:31
09:31:42,21.73,0.03,465,1009542,买盘,603367,2025-10-17 22:50:31
09:31:45,21.79,0.06,612,1329104,买盘,603367,2025-10-17 22:50:31
09:31:48,21.8,0.01,384,837372,买盘,603367,2025-10-17 22:50:31
09:31:51,21.83,0.03,1153,2519035,买盘,603367,2025-10-17 22:50:31
09:31:54,21.89,0.06,997,2182389,买盘,603367,2025-10-17 22:50:31
09:31:57,21.92,0.03,302,661494,买盘,603367,2025-10-17 22:50:31
09:32:00,21.91,-0.01,629,1378391,中性盘,603367,2025-10-17 22:50:31
09:32:03,21.89,-0.02,636,1392724,卖盘,603367,2025-10-17 22:50:31
09:32:06,21.87,-0.02,245,536191,卖盘,603367,2025-10-17 22:50:31
09:32:09,21.8,-0.07,448,978559,卖盘,603367,2025-10-17 22:50:31
09:32:12,21.84,0.04,551,1202092,买盘,603367,2025-10-17 22:50:31
09:32:15,21.8,-0.04,211,459848,卖盘,603367,2025-10-17 22:50:31
09:32:18,21.79,-0.01,308,670658,买盘,603367,2025-10-17 22:50:31
09:32:21,21.76,-0.03,262,570495,买盘,603367,2025-10-17 22:50:31
09:32:24,21.79,0.03,309,672700,买盘,603367,2025-10-17 22:50:31
09:32:27,21.76,-0.03,224,487470,中性盘,603367,2025-10-17 22:50:31
09:32:30,21.76,0.0,356,775339,卖盘,603367,2025-10-17 22:50:31
09:32:33,21.78,0.02,392,853250,买盘,603367,2025-10-17 22:50:31
09:32:36,21.78,0.0,269,585617,卖盘,603367,2025-10-17 22:50:31
09:32:39,21.79,0.01,624,1358826,买盘,603367,2025-10-17 22:50:31
09:32:42,21.88,0.09,1583,3455793,买盘,603367,2025-10-17 22:50:31
09:32:45,21.89,0.01,2555,5600221,中性盘,603367,2025-10-17 22:50:31
09:32:48,21.9,0.01,285,625234,中性盘,603367,2025-10-17 22:50:31
09:32:51,21.9,0.0,464,1016050,卖盘,603367,2025-10-17 22:50:31
09:32:54,21.88,-0.02,470,1029651,卖盘,603367,2025-10-17 22:50:31
09:32:57,21.88,0.0,268,586610,买盘,603367,2025-10-17 22:50:31
09:33:00,21.87,-0.01,184,402626,卖盘,603367,2025-10-17 22:50:31
09:33:03,21.86,-0.01,427,933230,卖盘,603367,2025-10-17 22:50:31
09:33:06,21.86,0.0,405,885510,卖盘,603367,2025-10-17 22:50:31
09:33:09,21.8,-0.06,541,1181790,卖盘,603367,2025-10-17 22:50:31
09:33:12,21.78,-0.02,724,1579160,卖盘,603367,2025-10-17 22:50:31
09:33:15,21.76,-0.02,154,335153,卖盘,603367,2025-10-17 22:50:31
09:33:18,21.74,-0.02,464,1008515,卖盘,603367,2025-10-17 22:50:31
09:33:21,21.73,-0.01,329,715348,中性盘,603367,2025-10-17 22:50:31
09:33:24,21.73,0.0,122,265179,卖盘,603367,2025-10-17 22:50:31
09:33:27,21.73,0.0,150,326074,买盘,603367,2025-10-17 22:50:31
09:33:30,21.73,0.0,200,434744,买盘,603367,2025-10-17 22:50:31
09:33:33,21.73,0.0,582,1265343,卖盘,603367,2025-10-17 22:50:31
09:33:36,21.73,0.0,144,313032,中性盘,603367,2025-10-17 22:50:31
09:33:39,21.77,0.04,153,332890,买盘,603367,2025-10-17 22:50:31
09:33:42,21.77,0.0,170,369853,买盘,603367,2025-10-17 22:50:31
09:33:45,21.77,0.0,93,202497,卖盘,603367,2025-10-17 22:50:31
09:33:48,21.78,0.01,255,555210,买盘,603367,2025-10-17 22:50:31
09:33:51,21.77,-0.01,322,701064,卖盘,603367,2025-10-17 22:50:31
09:33:54,21.77,0.0,140,304779,买盘,603367,2025-10-17 22:50:31
09:33:57,21.76,-0.01,95,206786,卖盘,603367,2025-10-17 22:50:31
09:34:00,21.76,0.0,247,537515,卖盘,603367,2025-10-17 22:50:31
09:34:03,21.73,-0.03,674,1464493,卖盘,603367,2025-10-17 22:50:31
09:34:06,21.74,0.01,300,652200,买盘,603367,2025-10-17 22:50:31
09:34:09,21.75,0.01,197,428390,买盘,603367,2025-10-17 22:50:31
09:34:12,21.73,-0.02,420,913174,卖盘,603367,2025-10-17 22:50:31
09:34:15,21.72,-0.01,306,664941,卖盘,603367,2025-10-17 22:50:31
09:34:18,21.73,0.01,275,597602,买盘,603367,2025-10-17 22:50:31
09:34:21,21.72,-0.01,105,228112,卖盘,603367,2025-10-17 22:50:31
09:34:24,21.73,0.01,214,464888,买盘,603367,2025-10-17 22:50:31
09:34:27,21.73,0.0,515,1118644,买盘,603367,2025-10-17 22:50:31
09:34:30,21.73,0.0,96,208613,卖盘,603367,2025-10-17 22:50:31
09:34:33,21.72,-0.01,176,382434,卖盘,603367,2025-10-17 22:50:31
09:34:36,21.73,0.01,268,582315,买盘,603367,2025-10-17 22:50:31
09:34:39,21.73,0.0,402,873735,买盘,603367,2025-10-17 22:50:31
09:34:42,21.78,0.05,422,918434,买盘,603367,2025-10-17 22:50:31
09:34:45,21.76,-0.02,109,237373,卖盘,603367,2025-10-17 22:50:31
09:34:48,21.78,0.02,150,326660,买盘,603367,2025-10-17 22:50:31
09:34:51,21.77,-0.01,100,217767,卖盘,603367,2025-10-17 22:50:31
09:34:54,21.78,0.01,93,202570,卖盘,603367,2025-10-17 22:50:31
09:34:57,21.78,0.0,231,503181,卖盘,603367,2025-10-17 22:50:31
09:35:00,21.78,0.0,309,673361,卖盘,603367,2025-10-17 22:50:31
09:35:03,21.79,0.01,373,812130,中性盘,603367,2025-10-17 22:50:31
09:35:06,21.85,0.06,940,2049648,买盘,603367,2025-10-17 22:50:31
09:35:09,21.85,0.0,373,815149,买盘,603367,2025-10-17 22:50:31
09:35:12,21.86,0.01,326,712840,买盘,603367,2025-10-17 22:50:31
09:35:15,21.88,0.02,557,1218921,买盘,603367,2025-10-17 22:50:31
09:35:18,21.86,-0.02,421,920740,卖盘,603367,2025-10-17 22:50:31
09:35:21,21.85,-0.01,236,516057,卖盘,603367,2025-10-17 22:50:31
09:35:24,21.85,0.0,186,406617,卖盘,603367,2025-10-17 22:50:31
09:35:27,21.86,0.01,219,478853,买盘,603367,2025-10-17 22:50:31
09:35:30,21.87,0.01,109,238397,中性盘,603367,2025-10-17 22:50:31
09:35:33,21.87,0.0,186,406731,中性盘,603367,2025-10-17 22:50:31
09:35:36,21.86,-0.01,394,861891,卖盘,603367,2025-10-17 22:50:31
09:35:39,21.87,0.01,260,568580,中性盘,603367,2025-10-17 22:50:31
09:35:42,21.86,-0.01,323,706096,卖盘,603367,2025-10-17 22:50:31
09:35:45,21.84,-0.02,378,825822,卖盘,603367,2025-10-17 22:50:31
09:35:48,21.84,0.0,118,257668,买盘,603367,2025-10-17 22:50:31
09:35:51,21.83,-0.01,515,1125456,买盘,603367,2025-10-17 22:50:31
09:35:54,21.83,0.0,584,1274798,买盘,603367,2025-10-17 22:50:31
09:35:57,21.83,0.0,101,220392,卖盘,603367,2025-10-17 22:50:31
09:36:00,21.82,-0.01,233,508364,买盘,603367,2025-10-17 22:50:31
09:36:03,21.8,-0.02,553,1205179,卖盘,603367,2025-10-17 22:50:31
09:36:06,21.8,0.0,240,522776,买盘,603367,2025-10-17 22:50:31
09:36:09,21.78,-0.02,146,317868,卖盘,603367,2025-10-17 22:50:31
09:36:12,21.75,-0.03,160,348263,卖盘,603367,2025-10-17 22:50:31
09:36:15,21.73,-0.02,1006,2186101,卖盘,603367,2025-10-17 22:50:31
09:36:18,21.7,-0.03,330,716126,卖盘,603367,2025-10-17 22:50:31
09:36:21,21.66,-0.04,711,1541927,卖盘,603367,2025-10-17 22:50:31
09:36:24,21.67,0.01,236,511269,中性盘,603367,2025-10-17 22:50:31
09:36:27,21.66,-0.01,766,1660197,中性盘,603367,2025-10-17 22:50:31
09:36:30,21.66,0.0,919,1990143,卖盘,603367,2025-10-17 22:50:31
09:36:33,21.67,0.01,384,832962,中性盘,603367,2025-10-17 22:50:31
09:36:36,21.73,0.06,673,1460502,买盘,603367,2025-10-17 22:50:31
09:36:39,21.74,0.01,119,258402,买盘,603367,2025-10-17 22:50:31
09:36:42,21.75,0.01,277,601560,买盘,603367,2025-10-17 22:50:31
09:36:45,21.74,-0.01,155,336987,卖盘,603367,2025-10-17 22:50:31
09:36:48,21.73,-0.01,224,487118,卖盘,603367,2025-10-17 22:50:31
09:36:51,21.7,-0.03,233,505908,卖盘,603367,2025-10-17 22:50:31
09:36:54,21.71,0.01,52,112898,买盘,603367,2025-10-17 22:50:31
09:36:57,21.7,-0.01,121,262716,卖盘,603367,2025-10-17 22:50:31
09:37:00,21.69,-0.01,503,1091522,中性盘,603367,2025-10-17 22:50:31
09:37:03,21.7,0.01,292,633458,中性盘,603367,2025-10-17 22:50:31
09:37:06,21.73,0.03,120,260572,买盘,603367,2025-10-17 22:50:31
