时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,24.1,0.0,2901,6991410,卖盘,002017,2025-10-17 22:47:31
09:30:00,24.1,0.0,1188,2862731,卖盘,002017,2025-10-17 22:47:31
09:30:03,24.13,0.03,1640,3951863,买盘,002017,2025-10-17 22:47:31
09:30:06,24.1,-0.03,886,2132726,卖盘,002017,2025-10-17 22:47:31
09:30:09,24.0,-0.1,942,2260968,卖盘,002017,2025-10-17 22:47:31
09:30:12,23.98,-0.02,1532,3673463,卖盘,002017,2025-10-17 22:47:31
09:30:15,23.94,-0.04,108,258494,卖盘,002017,2025-10-17 22:47:31
09:30:18,23.94,0.0,794,1898412,买盘,002017,2025-10-17 22:47:31
09:30:21,23.82,-0.12,468,1117041,卖盘,002017,2025-10-17 22:47:31
09:30:24,23.89,0.07,120,286130,买盘,002017,2025-10-17 22:47:31
09:30:27,23.82,-0.07,245,584106,卖盘,002017,2025-10-17 22:47:31
09:30:30,23.83,0.01,288,686694,卖盘,002017,2025-10-17 22:47:31
09:30:33,23.84,0.01,432,1030445,买盘,002017,2025-10-17 22:47:31
09:30:36,23.93,0.09,901,2151450,买盘,002017,2025-10-17 22:47:31
09:30:39,23.93,0.0,88,210370,卖盘,002017,2025-10-17 22:47:31
09:30:42,23.94,0.01,149,356637,买盘,002017,2025-10-17 22:47:31
09:30:45,23.87,-0.07,198,473188,卖盘,002017,2025-10-17 22:47:31
09:30:48,23.85,-0.02,86,205416,卖盘,002017,2025-10-17 22:47:31
09:30:51,23.84,-0.01,251,598671,卖盘,002017,2025-10-17 22:47:31
09:30:54,23.83,-0.01,182,433917,卖盘,002017,2025-10-17 22:47:31
09:30:57,23.82,-0.01,86,204951,卖盘,002017,2025-10-17 22:47:31
09:31:00,23.81,-0.01,178,423970,卖盘,002017,2025-10-17 22:47:31
09:31:03,23.83,0.02,1081,2577745,买盘,002017,2025-10-17 22:47:31
09:31:06,23.92,0.09,274,655020,买盘,002017,2025-10-17 22:47:31
09:31:09,23.96,0.04,149,356758,买盘,002017,2025-10-17 22:47:31
09:31:12,23.98,0.02,190,455377,买盘,002017,2025-10-17 22:47:31
09:31:15,24.05,0.07,237,568776,买盘,002017,2025-10-17 22:47:31
09:31:18,24.05,0.0,123,295680,买盘,002017,2025-10-17 22:47:31
09:31:21,24.0,-0.05,372,893183,卖盘,002017,2025-10-17 22:47:31
09:31:24,24.0,0.0,200,479980,买盘,002017,2025-10-17 22:47:31
09:31:27,23.94,-0.06,248,594695,卖盘,002017,2025-10-17 22:47:31
09:31:30,23.97,0.03,284,680856,买盘,002017,2025-10-17 22:47:31
09:31:33,23.95,-0.02,192,460308,卖盘,002017,2025-10-17 22:47:31
09:31:36,23.95,0.0,152,364192,买盘,002017,2025-10-17 22:47:31
09:31:39,23.95,0.0,87,208430,买盘,002017,2025-10-17 22:47:31
09:31:42,23.94,-0.01,130,311302,卖盘,002017,2025-10-17 22:47:31
09:31:45,23.93,-0.01,193,462288,卖盘,002017,2025-10-17 22:47:31
09:31:48,23.96,0.03,103,246752,中性盘,002017,2025-10-17 22:47:31
09:31:51,23.96,0.0,126,301891,卖盘,002017,2025-10-17 22:47:31
09:31:54,23.95,-0.01,107,256220,中性盘,002017,2025-10-17 22:47:31
09:31:57,23.94,-0.01,194,464520,卖盘,002017,2025-10-17 22:47:31
09:32:00,23.91,-0.03,312,746490,卖盘,002017,2025-10-17 22:47:31
09:32:03,23.9,-0.01,219,523747,卖盘,002017,2025-10-17 22:47:31
09:32:06,23.9,0.0,519,1240885,卖盘,002017,2025-10-17 22:47:31
09:32:09,23.9,0.0,175,418441,卖盘,002017,2025-10-17 22:47:31
09:32:12,23.93,0.03,403,963553,中性盘,002017,2025-10-17 22:47:31
09:32:15,23.91,-0.02,519,1241821,中性盘,002017,2025-10-17 22:47:31
09:32:18,23.9,-0.01,212,506844,卖盘,002017,2025-10-17 22:47:31
09:32:21,23.91,0.01,183,438380,中性盘,002017,2025-10-17 22:47:31
09:32:24,23.91,0.0,159,380086,卖盘,002017,2025-10-17 22:47:31
09:32:27,23.9,-0.01,152,363407,卖盘,002017,2025-10-17 22:47:31
09:32:30,23.89,-0.01,200,478027,卖盘,002017,2025-10-17 22:47:31
09:32:33,23.88,-0.01,87,207843,卖盘,002017,2025-10-17 22:47:31
09:32:36,23.85,-0.03,314,749381,卖盘,002017,2025-10-17 22:47:31
09:32:39,23.85,0.0,134,319719,卖盘,002017,2025-10-17 22:47:31
09:32:42,23.84,-0.01,144,343482,卖盘,002017,2025-10-17 22:47:31
09:32:45,23.86,0.02,140,333981,买盘,002017,2025-10-17 22:47:31
09:32:48,23.87,0.01,247,589205,中性盘,002017,2025-10-17 22:47:31
09:32:51,23.89,0.02,395,943490,买盘,002017,2025-10-17 22:47:31
09:32:54,23.89,0.0,47,112253,卖盘,002017,2025-10-17 22:47:31
09:32:57,23.93,0.04,79,189183,买盘,002017,2025-10-17 22:47:31
09:33:00,23.93,0.0,44,105172,卖盘,002017,2025-10-17 22:47:31
09:33:03,23.93,0.0,97,232173,卖盘,002017,2025-10-17 22:47:31
09:33:06,23.92,-0.01,115,275192,卖盘,002017,2025-10-17 22:47:31
09:33:09,23.91,-0.01,80,191285,买盘,002017,2025-10-17 22:47:31
09:33:12,23.91,0.0,172,411149,买盘,002017,2025-10-17 22:47:31
09:33:15,23.9,-0.01,193,461358,卖盘,002017,2025-10-17 22:47:31
09:33:18,23.89,-0.01,138,329843,卖盘,002017,2025-10-17 22:47:31
