时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,15.02,0.03,17588,26417176,买盘,002600,2025-10-17 22:58:08
09:30:00,15.06,0.04,3917,5892394,买盘,002600,2025-10-17 22:58:08
09:30:03,15.03,-0.03,5027,7568405,卖盘,002600,2025-10-17 22:58:08
09:30:06,15.03,0.0,586,882045,卖盘,002600,2025-10-17 22:58:08
09:30:09,15.04,0.01,136,204596,卖盘,002600,2025-10-17 22:58:08
09:30:12,15.04,0.0,108,162397,卖盘,002600,2025-10-17 22:58:08
09:30:15,15.03,-0.01,439,659827,卖盘,002600,2025-10-17 22:58:08
09:30:18,15.02,-0.01,6653,9992609,卖盘,002600,2025-10-17 22:58:08
09:30:21,15.0,-0.02,5499,8251645,卖盘,002600,2025-10-17 22:58:08
09:30:24,14.98,-0.02,1365,2045351,卖盘,002600,2025-10-17 22:58:08
09:30:27,14.97,-0.01,1626,2434057,卖盘,002600,2025-10-17 22:58:08
09:30:30,14.92,-0.05,1701,2541443,卖盘,002600,2025-10-17 22:58:08
09:30:33,14.93,0.01,5346,7975138,买盘,002600,2025-10-17 22:58:08
09:30:36,14.92,-0.01,3523,5263697,卖盘,002600,2025-10-17 22:58:08
09:30:39,14.9,-0.02,1327,1978059,卖盘,002600,2025-10-17 22:58:08
09:30:42,14.9,0.0,2474,3687277,卖盘,002600,2025-10-17 22:58:08
09:30:45,14.9,0.0,765,1139889,卖盘,002600,2025-10-17 22:58:08
09:30:48,14.9,0.0,2267,3376282,买盘,002600,2025-10-17 22:58:08
09:30:51,14.9,0.0,1006,1498457,买盘,002600,2025-10-17 22:58:08
09:30:54,14.9,0.0,2501,3725351,买盘,002600,2025-10-17 22:58:08
09:30:57,14.89,-0.01,801,1193408,卖盘,002600,2025-10-17 22:58:08
09:31:00,14.9,0.01,767,1143006,卖盘,002600,2025-10-17 22:58:08
09:31:03,14.92,0.02,725,1081123,买盘,002600,2025-10-17 22:58:08
09:31:06,14.9,-0.02,793,1182021,卖盘,002600,2025-10-17 22:58:08
09:31:09,14.92,0.02,554,825847,买盘,002600,2025-10-17 22:58:08
09:31:12,14.92,0.0,666,993689,卖盘,002600,2025-10-17 22:58:08
09:31:15,14.92,0.0,830,1238575,卖盘,002600,2025-10-17 22:58:08
09:31:18,14.93,0.01,704,1050802,买盘,002600,2025-10-17 22:58:08
09:31:21,14.94,0.01,386,576257,买盘,002600,2025-10-17 22:58:08
09:31:24,14.94,0.0,715,1068128,卖盘,002600,2025-10-17 22:58:08
09:31:27,14.94,0.0,904,1350787,买盘,002600,2025-10-17 22:58:08
09:31:30,14.95,0.01,422,630584,买盘,002600,2025-10-17 22:58:08
09:31:33,14.94,-0.01,369,551466,卖盘,002600,2025-10-17 22:58:08
09:31:36,14.94,0.0,1263,1887676,卖盘,002600,2025-10-17 22:58:08
09:31:39,14.95,0.01,664,991969,买盘,002600,2025-10-17 22:58:08
09:31:42,14.94,-0.01,688,1028406,卖盘,002600,2025-10-17 22:58:08
09:31:45,14.95,0.01,1213,1812353,中性盘,002600,2025-10-17 22:58:08
09:31:48,14.96,0.01,435,650277,中性盘,002600,2025-10-17 22:58:08
09:31:51,14.98,0.02,759,1134994,买盘,002600,2025-10-17 22:58:08
09:31:54,14.97,-0.01,637,953397,买盘,002600,2025-10-17 22:58:08
09:31:57,14.97,0.0,728,1089203,中性盘,002600,2025-10-17 22:58:08
09:32:00,14.98,0.01,1101,1647581,买盘,002600,2025-10-17 22:58:08
09:32:03,14.97,-0.01,600,897988,中性盘,002600,2025-10-17 22:58:08
09:32:06,14.97,0.0,1126,1683989,卖盘,002600,2025-10-17 22:58:08
09:32:09,14.97,0.0,1864,2786461,买盘,002600,2025-10-17 22:58:08
09:32:12,14.96,-0.01,2745,4097511,买盘,002600,2025-10-17 22:58:08
09:32:15,14.96,0.0,427,638555,买盘,002600,2025-10-17 22:58:08
09:32:18,14.94,-0.02,705,1053146,卖盘,002600,2025-10-17 22:58:08
09:32:21,14.94,0.0,268,400222,买盘,002600,2025-10-17 22:58:08
09:32:24,14.93,-0.01,3794,5656261,中性盘,002600,2025-10-17 22:58:08
09:32:27,14.92,-0.01,604,901584,卖盘,002600,2025-10-17 22:58:08
09:32:30,14.91,-0.01,387,577131,卖盘,002600,2025-10-17 22:58:08
09:32:33,14.91,0.0,1349,2012487,买盘,002600,2025-10-17 22:58:08
09:32:36,14.9,-0.01,704,1049309,卖盘,002600,2025-10-17 22:58:08
09:32:39,14.91,0.01,1970,2937651,买盘,002600,2025-10-17 22:58:08
09:32:42,14.9,-0.01,1071,1596342,卖盘,002600,2025-10-17 22:58:08
09:32:45,14.92,0.02,976,1454935,中性盘,002600,2025-10-17 22:58:08
09:32:48,14.91,-0.01,511,762132,卖盘,002600,2025-10-17 22:58:08
09:32:51,14.91,0.0,432,644238,卖盘,002600,2025-10-17 22:58:08
09:32:54,14.91,0.0,664,989913,卖盘,002600,2025-10-17 22:58:08
09:32:57,14.91,0.0,651,970840,卖盘,002600,2025-10-17 22:58:08
09:33:00,14.91,0.0,864,1288297,卖盘,002600,2025-10-17 22:58:08
09:33:03,14.91,0.0,589,878766,卖盘,002600,2025-10-17 22:58:08
09:33:06,14.92,0.01,1272,1897972,卖盘,002600,2025-10-17 22:58:08
09:33:09,14.92,0.0,1365,2036369,买盘,002600,2025-10-17 22:58:08
09:33:12,14.92,0.0,935,1394456,买盘,002600,2025-10-17 22:58:08
09:33:15,14.92,0.0,423,631099,卖盘,002600,2025-10-17 22:58:08
09:33:18,14.92,0.0,360,537206,卖盘,002600,2025-10-17 22:58:08
09:33:21,14.92,0.0,429,640194,卖盘,002600,2025-10-17 22:58:08
09:33:24,14.92,0.0,463,690859,卖盘,002600,2025-10-17 22:58:08
09:33:27,14.92,0.0,1026,1531332,卖盘,002600,2025-10-17 22:58:08
09:33:30,14.92,0.0,1333,1988719,卖盘,002600,2025-10-17 22:58:08
09:33:33,14.93,0.01,579,863983,买盘,002600,2025-10-17 22:58:08
09:33:36,14.92,-0.01,345,514805,卖盘,002600,2025-10-17 22:58:08
09:33:39,14.92,0.0,1034,1543013,卖盘,002600,2025-10-17 22:58:08
09:33:42,14.93,0.01,607,906004,买盘,002600,2025-10-17 22:58:08
09:33:45,14.94,0.01,528,788169,买盘,002600,2025-10-17 22:58:08
09:33:48,14.93,-0.01,308,459702,卖盘,002600,2025-10-17 22:58:08
09:33:51,14.94,0.01,479,715133,买盘,002600,2025-10-17 22:58:08
09:33:54,14.95,0.01,1266,1890550,买盘,002600,2025-10-17 22:58:08
09:33:57,14.94,-0.01,166,248054,中性盘,002600,2025-10-17 22:58:08
09:34:00,14.94,0.0,419,626034,卖盘,002600,2025-10-17 22:58:08
09:34:03,14.93,-0.01,482,720052,卖盘,002600,2025-10-17 22:58:08
09:34:06,14.94,0.01,654,977298,买盘,002600,2025-10-17 22:58:08
09:34:09,14.94,0.0,948,1415602,买盘,002600,2025-10-17 22:58:08
09:34:12,14.93,-0.01,253,377860,卖盘,002600,2025-10-17 22:58:08
09:34:15,14.93,0.0,479,715318,卖盘,002600,2025-10-17 22:58:08
09:34:18,14.94,0.01,841,1255957,买盘,002600,2025-10-17 22:58:08
09:34:21,14.93,-0.01,6098,9098928,卖盘,002600,2025-10-17 22:58:08
09:34:24,14.92,-0.01,789,1177783,中性盘,002600,2025-10-17 22:58:08
09:34:27,14.91,-0.01,580,865652,卖盘,002600,2025-10-17 22:58:08
09:34:30,14.93,0.02,619,923207,买盘,002600,2025-10-17 22:58:08
09:34:33,14.93,0.0,405,604239,买盘,002600,2025-10-17 22:58:08
09:34:36,14.94,0.01,4797,7168745,买盘,002600,2025-10-17 22:58:08
09:34:39,14.94,0.0,611,912739,卖盘,002600,2025-10-17 22:58:08
09:34:42,14.94,0.0,413,617071,卖盘,002600,2025-10-17 22:58:08
09:34:45,14.94,0.0,679,1014901,卖盘,002600,2025-10-17 22:58:08
09:34:48,14.97,0.03,508,759713,买盘,002600,2025-10-17 22:58:08
09:34:51,14.97,0.0,4926,7351434,卖盘,002600,2025-10-17 22:58:08
09:34:54,14.96,-0.01,471,705125,中性盘,002600,2025-10-17 22:58:08
09:34:57,14.94,-0.02,269,402323,卖盘,002600,2025-10-17 22:58:08
09:35:00,14.96,0.02,175,261916,中性盘,002600,2025-10-17 22:58:08
09:35:03,14.94,-0.02,948,1417010,卖盘,002600,2025-10-17 22:58:08
09:35:06,14.94,0.0,462,690163,买盘,002600,2025-10-17 22:58:08
09:35:09,14.94,0.0,753,1124941,卖盘,002600,2025-10-17 22:58:08
09:35:12,14.94,0.0,491,733576,买盘,002600,2025-10-17 22:58:08
09:35:15,14.94,0.0,352,525230,买盘,002600,2025-10-17 22:58:08
09:35:18,14.93,-0.01,1050,1568334,卖盘,002600,2025-10-17 22:58:08
09:35:21,14.94,0.01,630,941030,中性盘,002600,2025-10-17 22:58:08
09:35:24,14.93,-0.01,417,623155,卖盘,002600,2025-10-17 22:58:08
09:35:27,14.94,0.01,332,495302,买盘,002600,2025-10-17 22:58:08
09:35:30,14.93,-0.01,653,974729,卖盘,002600,2025-10-17 22:58:08
09:35:33,14.93,0.0,461,688450,卖盘,002600,2025-10-17 22:58:08
09:35:36,14.93,0.0,319,476374,卖盘,002600,2025-10-17 22:58:08
09:35:39,14.93,0.0,326,486775,卖盘,002600,2025-10-17 22:58:08
09:35:42,14.93,0.0,561,837520,卖盘,002600,2025-10-17 22:58:08
09:35:45,14.93,0.0,517,771559,买盘,002600,2025-10-17 22:58:08
09:35:48,14.92,-0.01,474,707443,卖盘,002600,2025-10-17 22:58:08
09:35:51,14.92,0.0,1394,2080847,卖盘,002600,2025-10-17 22:58:08
09:35:54,14.92,0.0,309,461000,买盘,002600,2025-10-17 22:58:08
09:35:57,14.92,0.0,410,611585,买盘,002600,2025-10-17 22:58:08
09:36:00,14.92,0.0,1456,2172483,买盘,002600,2025-10-17 22:58:08
09:36:03,14.92,0.0,486,725206,卖盘,002600,2025-10-17 22:58:08
