时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:04,8.48,0.0,162,137376,卖盘,603313,2025-10-17 22:54:48
09:30:04,8.5,0.02,30,25467,买盘,603313,2025-10-17 22:54:48
09:30:07,8.48,-0.02,9,7632,卖盘,603313,2025-10-17 22:54:48
09:30:10,8.47,-0.01,14,11869,卖盘,603313,2025-10-17 22:54:48
09:30:13,8.47,0.0,11,9317,买盘,603313,2025-10-17 22:54:48
09:30:16,8.49,0.02,82,69523,买盘,603313,2025-10-17 22:54:48
09:30:19,8.48,-0.01,3,2545,卖盘,603313,2025-10-17 22:54:48
09:30:22,8.47,-0.01,57,48307,卖盘,603313,2025-10-17 22:54:48
09:30:25,8.47,0.0,68,57662,卖盘,603313,2025-10-17 22:54:48
09:30:28,8.48,0.01,63,53408,买盘,603313,2025-10-17 22:54:48
09:30:31,8.48,0.0,75,63601,买盘,603313,2025-10-17 22:54:48
09:30:34,8.49,0.01,58,49209,买盘,603313,2025-10-17 22:54:48
09:30:37,8.49,0.0,20,16979,买盘,603313,2025-10-17 22:54:48
09:30:40,8.49,0.0,234,198664,买盘,603313,2025-10-17 22:54:48
09:30:43,8.49,0.0,174,147827,买盘,603313,2025-10-17 22:54:48
09:30:46,8.51,0.02,57,48495,中性盘,603313,2025-10-17 22:54:48
09:30:49,8.52,0.01,68,57898,买盘,603313,2025-10-17 22:54:48
09:30:52,8.54,0.02,66,56297,买盘,603313,2025-10-17 22:54:48
09:30:55,8.52,-0.02,1,852,卖盘,603313,2025-10-17 22:54:48
09:30:58,8.53,0.01,6,5123,中性盘,603313,2025-10-17 22:54:48
09:31:01,8.57,0.04,441,377015,买盘,603313,2025-10-17 22:54:48
09:31:04,8.57,0.0,107,91636,买盘,603313,2025-10-17 22:54:48
09:31:07,8.58,0.01,268,229444,买盘,603313,2025-10-17 22:54:48
09:31:13,8.57,-0.01,5,4285,买盘,603313,2025-10-17 22:54:48
09:31:16,8.56,-0.01,19,16249,中性盘,603313,2025-10-17 22:54:48
09:31:19,8.53,-0.03,136,116169,卖盘,603313,2025-10-17 22:54:48
09:31:22,8.54,0.01,17,14530,中性盘,603313,2025-10-17 22:54:48
09:31:25,8.56,0.02,66,56496,买盘,603313,2025-10-17 22:54:48
09:31:28,8.55,-0.01,11,9405,买盘,603313,2025-10-17 22:54:48
09:31:31,8.56,0.01,72,61633,买盘,603313,2025-10-17 22:54:48
09:31:34,8.57,0.01,189,161978,买盘,603313,2025-10-17 22:54:48
09:31:37,8.58,0.01,44,37752,买盘,603313,2025-10-17 22:54:48
09:31:40,8.57,-0.01,25,21425,卖盘,603313,2025-10-17 22:54:48
09:31:43,8.57,0.0,1,857,卖盘,603313,2025-10-17 22:54:48
09:31:46,8.59,0.02,311,266776,买盘,603313,2025-10-17 22:54:48
09:31:49,8.57,-0.02,15,12867,卖盘,603313,2025-10-17 22:54:48
09:31:52,8.59,0.02,124,106515,买盘,603313,2025-10-17 22:54:48
09:31:55,8.59,0.0,558,479761,卖盘,603313,2025-10-17 22:54:48
09:31:58,8.6,0.01,15,12900,中性盘,603313,2025-10-17 22:54:48
09:32:01,8.6,0.0,2,1720,卖盘,603313,2025-10-17 22:54:48
09:32:04,8.65,0.05,965,832696,买盘,603313,2025-10-17 22:54:48
09:32:07,8.63,-0.02,151,130435,中性盘,603313,2025-10-17 22:54:48
09:32:10,8.63,0.0,46,39698,中性盘,603313,2025-10-17 22:54:48
09:32:13,8.62,-0.01,472,407441,卖盘,603313,2025-10-17 22:54:48
09:32:16,8.62,0.0,77,66405,卖盘,603313,2025-10-17 22:54:48
09:32:19,8.65,0.03,488,421774,买盘,603313,2025-10-17 22:54:48
09:32:22,8.65,0.0,516,446385,买盘,603313,2025-10-17 22:54:48
09:32:25,8.64,-0.01,114,98565,卖盘,603313,2025-10-17 22:54:48
09:32:28,8.64,0.0,28,24192,买盘,603313,2025-10-17 22:54:48
09:32:31,8.65,0.01,3,2595,买盘,603313,2025-10-17 22:54:48
09:32:34,8.64,-0.01,99,85550,卖盘,603313,2025-10-17 22:54:48
09:32:37,8.64,0.0,29,25084,卖盘,603313,2025-10-17 22:54:48
09:32:40,8.63,-0.01,77,66535,卖盘,603313,2025-10-17 22:54:48
09:32:43,8.63,0.0,95,82126,卖盘,603313,2025-10-17 22:54:48
09:32:46,8.64,0.01,72,62208,买盘,603313,2025-10-17 22:54:48
09:32:49,8.64,0.0,165,142530,买盘,603313,2025-10-17 22:54:48
09:32:52,8.64,0.0,35,30210,买盘,603313,2025-10-17 22:54:48
09:32:55,8.66,0.02,1739,1506173,买盘,603313,2025-10-17 22:54:48
09:32:58,8.66,0.0,750,652081,卖盘,603313,2025-10-17 22:54:48
09:33:01,8.72,0.06,545,474872,买盘,603313,2025-10-17 22:54:48
09:33:04,8.71,-0.01,581,506831,卖盘,603313,2025-10-17 22:54:48
09:33:07,8.72,0.01,201,175330,买盘,603313,2025-10-17 22:54:48
09:33:10,8.72,0.0,20,17426,买盘,603313,2025-10-17 22:54:48
09:33:13,8.7,-0.02,140,121826,卖盘,603313,2025-10-17 22:54:48
09:33:16,8.69,-0.01,532,463171,卖盘,603313,2025-10-17 22:54:48
09:33:19,8.68,-0.01,131,113810,卖盘,603313,2025-10-17 22:54:48
09:33:22,8.68,0.0,80,69508,卖盘,603313,2025-10-17 22:54:48
09:33:28,8.68,0.0,81,70371,卖盘,603313,2025-10-17 22:54:48
09:33:34,8.68,0.0,10,8680,卖盘,603313,2025-10-17 22:54:48
09:33:37,8.67,-0.01,37,32084,卖盘,603313,2025-10-17 22:54:48
09:33:40,8.67,0.0,52,45080,卖盘,603313,2025-10-17 22:54:48
09:33:43,8.67,0.0,148,128203,买盘,603313,2025-10-17 22:54:48
09:33:46,8.66,-0.01,2,1732,卖盘,603313,2025-10-17 22:54:48
09:33:49,8.67,0.01,272,235848,买盘,603313,2025-10-17 22:54:48
09:33:52,8.7,0.03,591,513292,买盘,603313,2025-10-17 22:54:48
09:33:55,8.7,0.0,171,148891,买盘,603313,2025-10-17 22:54:48
09:33:58,8.71,0.01,128,111384,买盘,603313,2025-10-17 22:54:48
09:34:01,8.72,0.01,252,219651,买盘,603313,2025-10-17 22:54:48
09:34:04,8.72,0.0,294,256151,买盘,603313,2025-10-17 22:54:48
09:34:07,8.7,-0.02,186,162184,卖盘,603313,2025-10-17 22:54:48
09:34:10,8.72,0.02,3,2616,中性盘,603313,2025-10-17 22:54:48
09:34:13,8.71,-0.01,56,48826,卖盘,603313,2025-10-17 22:54:48
09:34:16,8.71,0.0,63,54943,卖盘,603313,2025-10-17 22:54:48
09:34:19,8.71,0.0,65,56627,买盘,603313,2025-10-17 22:54:48
09:34:22,8.7,-0.01,22,19145,卖盘,603313,2025-10-17 22:54:48
09:34:25,8.71,0.01,80,69662,买盘,603313,2025-10-17 22:54:48
09:34:28,8.69,-0.02,126,109745,卖盘,603313,2025-10-17 22:54:48
09:34:31,8.72,0.03,745,649095,买盘,603313,2025-10-17 22:54:48
09:34:34,8.76,0.04,1707,1493381,买盘,603313,2025-10-17 22:54:48
