时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,26.47,0.17,28266,74820102,买盘,601126,2025-10-17 22:59:07
09:30:00,26.6,0.13,4550,12071905,买盘,601126,2025-10-17 22:59:07
09:30:03,26.73,0.13,3421,9095630,买盘,601126,2025-10-17 22:59:07
09:30:06,26.73,0.0,2623,7011296,卖盘,601126,2025-10-17 22:59:07
09:30:09,26.73,0.0,1200,3207650,卖盘,601126,2025-10-17 22:59:07
09:30:12,26.87,0.14,2336,6263448,买盘,601126,2025-10-17 22:59:07
09:30:15,26.78,-0.09,1979,5307311,卖盘,601126,2025-10-17 22:59:07
09:30:18,26.83,0.05,1188,3191056,中性盘,601126,2025-10-17 22:59:07
09:30:21,26.98,0.15,2983,8022694,买盘,601126,2025-10-17 22:59:07
09:30:24,26.82,-0.16,2973,8004901,卖盘,601126,2025-10-17 22:59:07
09:30:27,27.0,0.18,2906,7835157,买盘,601126,2025-10-17 22:59:07
09:30:30,27.05,0.05,1113,3010667,中性盘,601126,2025-10-17 22:59:07
09:30:33,27.1,0.05,5653,15282284,中性盘,601126,2025-10-17 22:59:07
09:30:36,27.21,0.11,1335,3623574,买盘,601126,2025-10-17 22:59:07
09:30:39,27.27,0.06,1667,4538028,买盘,601126,2025-10-17 22:59:07
09:30:42,27.35,0.08,3648,9949026,买盘,601126,2025-10-17 22:59:07
09:30:45,27.35,0.0,2944,8046557,买盘,601126,2025-10-17 22:59:07
09:30:48,27.38,0.03,2764,7560804,买盘,601126,2025-10-17 22:59:07
09:30:52,27.44,0.06,2078,5693614,买盘,601126,2025-10-17 22:59:07
09:30:54,27.48,0.04,881,2419952,买盘,601126,2025-10-17 22:59:07
09:30:57,27.49,0.01,3609,9919197,买盘,601126,2025-10-17 22:59:07
09:31:00,27.62,0.13,2800,7710356,买盘,601126,2025-10-17 22:59:07
09:31:04,27.62,0.0,3238,8920547,买盘,601126,2025-10-17 22:59:07
09:31:06,27.48,-0.14,3773,10417078,卖盘,601126,2025-10-17 22:59:07
09:31:09,27.4,-0.08,4211,11561063,卖盘,601126,2025-10-17 22:59:07
09:31:12,27.36,-0.04,3653,10010685,卖盘,601126,2025-10-17 22:59:07
09:31:15,27.31,-0.05,2944,8046040,卖盘,601126,2025-10-17 22:59:07
09:31:19,27.22,-0.09,3168,8632636,卖盘,601126,2025-10-17 22:59:07
09:31:21,27.25,0.03,1336,3628110,买盘,601126,2025-10-17 22:59:07
09:31:24,27.06,-0.19,1638,4448363,卖盘,601126,2025-10-17 22:59:07
09:31:27,27.07,0.01,1696,4596084,买盘,601126,2025-10-17 22:59:07
09:31:31,27.25,0.18,4511,12221525,买盘,601126,2025-10-17 22:59:07
09:31:33,27.1,-0.15,3275,8890808,卖盘,601126,2025-10-17 22:59:07
09:31:36,27.13,0.03,1461,3964694,中性盘,601126,2025-10-17 22:59:07
09:31:39,27.0,-0.13,1522,4126975,卖盘,601126,2025-10-17 22:59:07
09:31:42,27.11,0.11,772,2087665,买盘,601126,2025-10-17 22:59:07
09:31:46,27.0,-0.11,1442,3901631,卖盘,601126,2025-10-17 22:59:07
09:31:48,27.0,0.0,1619,4381154,卖盘,601126,2025-10-17 22:59:07
09:31:51,26.95,-0.05,1328,3573384,中性盘,601126,2025-10-17 22:59:07
09:31:54,26.89,-0.06,2977,8019156,卖盘,601126,2025-10-17 22:59:07
09:31:57,26.93,0.04,1115,2999241,买盘,601126,2025-10-17 22:59:07
09:32:00,27.0,0.07,1997,5382509,买盘,601126,2025-10-17 22:59:07
09:32:03,27.0,0.0,1020,2752234,卖盘,601126,2025-10-17 22:59:07
09:32:06,27.07,0.07,2170,5859549,买盘,601126,2025-10-17 22:59:07
09:32:09,27.09,0.02,2385,6476570,买盘,601126,2025-10-17 22:59:07
09:32:12,27.18,0.09,602,1637326,中性盘,601126,2025-10-17 22:59:07
09:32:15,27.2,0.02,829,2251567,中性盘,601126,2025-10-17 22:59:07
09:32:18,27.0,-0.2,2349,6359698,卖盘,601126,2025-10-17 22:59:07
09:32:22,26.84,-0.16,1850,4979540,卖盘,601126,2025-10-17 22:59:07
09:32:24,26.84,0.0,1367,3680167,买盘,601126,2025-10-17 22:59:07
09:32:27,26.89,0.05,454,1219950,买盘,601126,2025-10-17 22:59:07
09:32:30,26.85,-0.04,836,2245849,卖盘,601126,2025-10-17 22:59:07
09:32:33,26.84,-0.01,977,2621463,卖盘,601126,2025-10-17 22:59:07
09:32:36,26.85,0.01,1312,3521234,买盘,601126,2025-10-17 22:59:07
09:32:39,26.91,0.06,1798,4832448,买盘,601126,2025-10-17 22:59:07
09:32:42,26.99,0.08,721,1943627,买盘,601126,2025-10-17 22:59:07
09:32:45,27.1,0.11,625,1689740,买盘,601126,2025-10-17 22:59:07
09:32:48,27.12,0.02,267,723227,买盘,601126,2025-10-17 22:59:07
09:32:52,27.15,0.03,770,2085131,买盘,601126,2025-10-17 22:59:07
09:32:54,27.21,0.06,786,2136162,买盘,601126,2025-10-17 22:59:07
09:32:57,27.27,0.06,691,1880427,买盘,601126,2025-10-17 22:59:07
09:33:00,27.4,0.13,1296,3544358,买盘,601126,2025-10-17 22:59:07
09:33:03,27.4,0.0,1456,3990313,卖盘,601126,2025-10-17 22:59:07
09:33:06,27.37,-0.03,1612,4414148,卖盘,601126,2025-10-17 22:59:07
09:33:09,27.28,-0.09,1585,4320951,卖盘,601126,2025-10-17 22:59:07
09:33:12,27.28,0.0,702,1913448,买盘,601126,2025-10-17 22:59:07
09:33:15,27.28,0.0,1066,2907031,买盘,601126,2025-10-17 22:59:07
09:33:18,27.29,0.01,531,1449489,中性盘,601126,2025-10-17 22:59:07
09:33:21,27.45,0.16,6509,17841420,买盘,601126,2025-10-17 22:59:07
09:33:24,27.5,0.05,865,2378027,卖盘,601126,2025-10-17 22:59:07
09:33:27,27.44,-0.06,600,1646828,中性盘,601126,2025-10-17 22:59:07
09:33:30,27.44,0.0,2309,6340169,买盘,601126,2025-10-17 22:59:07
09:33:33,27.45,0.01,578,1585979,中性盘,601126,2025-10-17 22:59:07
09:33:36,27.4,-0.05,399,1094349,卖盘,601126,2025-10-17 22:59:07
09:33:39,27.5,0.1,4104,11278725,买盘,601126,2025-10-17 22:59:07
09:33:42,27.46,-0.04,1841,5061187,卖盘,601126,2025-10-17 22:59:07
09:33:45,27.55,0.09,1563,4302349,买盘,601126,2025-10-17 22:59:07
09:33:48,27.64,0.09,1914,5282459,买盘,601126,2025-10-17 22:59:07
09:33:52,27.68,0.04,1554,4296834,买盘,601126,2025-10-17 22:59:07
09:33:54,27.73,0.05,1829,5063786,买盘,601126,2025-10-17 22:59:07
09:33:57,27.74,0.01,1163,3224737,买盘,601126,2025-10-17 22:59:07
09:34:00,27.76,0.02,838,2326077,买盘,601126,2025-10-17 22:59:07
09:34:03,27.76,0.0,1146,3182039,卖盘,601126,2025-10-17 22:59:07
09:34:06,27.76,0.0,3583,9942191,卖盘,601126,2025-10-17 22:59:07
09:34:09,27.68,-0.08,1812,5022814,卖盘,601126,2025-10-17 22:59:07
09:34:12,27.66,-0.02,1576,4362576,卖盘,601126,2025-10-17 22:59:07
09:34:15,27.63,-0.03,1277,3530012,卖盘,601126,2025-10-17 22:59:07
09:34:19,27.68,0.05,1876,5187357,买盘,601126,2025-10-17 22:59:07
09:34:22,27.68,0.0,2321,6428915,卖盘,601126,2025-10-17 22:59:07
09:34:24,27.69,0.01,1124,3114516,买盘,601126,2025-10-17 22:59:07
09:34:27,27.73,0.04,2440,6771781,中性盘,601126,2025-10-17 22:59:07
09:34:30,27.81,0.08,2052,5698226,买盘,601126,2025-10-17 22:59:07
09:34:33,27.77,-0.04,1197,3329234,卖盘,601126,2025-10-17 22:59:07
09:34:36,27.83,0.06,541,1505464,卖盘,601126,2025-10-17 22:59:07
09:34:39,27.8,-0.03,955,2655773,卖盘,601126,2025-10-17 22:59:07
09:34:42,27.77,-0.03,1700,4725704,卖盘,601126,2025-10-17 22:59:07
09:34:45,27.84,0.07,1639,4559762,买盘,601126,2025-10-17 22:59:07
09:34:48,27.87,0.03,849,2365964,中性盘,601126,2025-10-17 22:59:07
09:34:51,27.91,0.04,1005,2802870,买盘,601126,2025-10-17 22:59:07
09:34:54,27.98,0.07,1012,2825825,买盘,601126,2025-10-17 22:59:07
09:34:57,27.97,-0.01,1702,4754654,卖盘,601126,2025-10-17 22:59:07
09:35:00,27.96,-0.01,999,2793164,中性盘,601126,2025-10-17 22:59:07
09:35:03,27.94,-0.02,1953,5460720,卖盘,601126,2025-10-17 22:59:07
09:35:06,27.96,0.02,1529,4275237,卖盘,601126,2025-10-17 22:59:07
09:35:09,27.87,-0.09,2640,7365365,卖盘,601126,2025-10-17 22:59:07
09:35:12,27.8,-0.07,2265,6321322,卖盘,601126,2025-10-17 22:59:07
09:35:15,27.85,0.05,1394,3873948,买盘,601126,2025-10-17 22:59:07
09:35:18,27.78,-0.07,834,2318905,卖盘,601126,2025-10-17 22:59:07
09:35:21,27.75,-0.03,1027,2852784,中性盘,601126,2025-10-17 22:59:07
09:35:24,27.7,-0.05,896,2483230,中性盘,601126,2025-10-17 22:59:07
09:35:27,27.67,-0.03,1474,4083003,卖盘,601126,2025-10-17 22:59:07
09:35:30,27.66,-0.01,729,2017606,卖盘,601126,2025-10-17 22:59:07
09:35:34,27.63,-0.03,273,754598,卖盘,601126,2025-10-17 22:59:07
09:35:36,27.56,-0.07,1172,3236126,卖盘,601126,2025-10-17 22:59:07
09:35:40,27.51,-0.05,1047,2884285,卖盘,601126,2025-10-17 22:59:07
09:35:42,27.49,-0.02,658,1810287,卖盘,601126,2025-10-17 22:59:07
09:35:45,27.41,-0.08,482,1323710,卖盘,601126,2025-10-17 22:59:07
09:35:48,27.41,0.0,1027,2817819,卖盘,601126,2025-10-17 22:59:07
09:35:51,27.37,-0.04,988,2704968,卖盘,601126,2025-10-17 22:59:07
09:35:54,27.35,-0.02,797,2179753,中性盘,601126,2025-10-17 22:59:07
09:35:57,27.43,0.08,2061,5655300,买盘,601126,2025-10-17 22:59:07
09:36:00,27.48,0.05,823,2260639,中性盘,601126,2025-10-17 22:59:07
09:36:03,27.51,0.03,2176,5983544,买盘,601126,2025-10-17 22:59:07
09:36:06,27.69,0.18,1651,4557631,买盘,601126,2025-10-17 22:59:07
09:36:09,27.73,0.04,1629,4514769,买盘,601126,2025-10-17 22:59:07
09:36:12,27.74,0.01,3769,10445244,中性盘,601126,2025-10-17 22:59:07
09:36:16,27.69,-0.05,2872,7945292,卖盘,601126,2025-10-17 22:59:07
09:36:18,27.57,-0.12,1793,4956437,卖盘,601126,2025-10-17 22:59:07
09:36:21,27.51,-0.06,859,2366702,卖盘,601126,2025-10-17 22:59:07
09:36:24,27.51,0.0,901,2481449,买盘,601126,2025-10-17 22:59:07
