时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:03,10.89,0.0,764,831996,卖盘,603101,2025-10-17 22:54:01
09:30:00,10.81,-0.08,4,4324,中性盘,603101,2025-10-17 22:54:01
09:30:03,10.8,-0.01,42,45427,卖盘,603101,2025-10-17 22:54:01
09:30:06,10.87,0.07,85,91921,中性盘,603101,2025-10-17 22:54:01
09:30:09,10.89,0.02,803,875838,买盘,603101,2025-10-17 22:54:01
09:30:12,10.82,-0.07,120,130182,卖盘,603101,2025-10-17 22:54:01
09:30:15,10.82,0.0,191,207345,卖盘,603101,2025-10-17 22:54:01
09:30:18,10.8,-0.02,157,170119,卖盘,603101,2025-10-17 22:54:01
09:30:21,10.91,0.11,579,631045,买盘,603101,2025-10-17 22:54:01
09:30:24,10.95,0.04,776,847800,买盘,603101,2025-10-17 22:54:01
09:30:27,11.01,0.06,1238,1360091,买盘,603101,2025-10-17 22:54:01
09:30:30,11.06,0.05,206,227548,买盘,603101,2025-10-17 22:54:01
09:30:33,11.1,0.04,583,646808,买盘,603101,2025-10-17 22:54:01
09:30:36,11.11,0.01,610,678061,买盘,603101,2025-10-17 22:54:01
09:30:39,11.13,0.02,955,1063916,买盘,603101,2025-10-17 22:54:01
09:30:42,11.14,0.01,327,364791,买盘,603101,2025-10-17 22:54:01
09:30:45,11.19,0.05,364,406757,买盘,603101,2025-10-17 22:54:01
09:30:48,11.2,0.01,1006,1126929,买盘,603101,2025-10-17 22:54:01
09:30:51,11.22,0.02,858,962425,中性盘,603101,2025-10-17 22:54:01
09:30:54,11.2,-0.02,2225,2499000,卖盘,603101,2025-10-17 22:54:01
09:30:57,11.22,0.02,977,1097253,卖盘,603101,2025-10-17 22:54:01
09:31:00,11.22,0.0,1178,1322189,买盘,603101,2025-10-17 22:54:01
09:31:03,11.23,0.01,1017,1142878,买盘,603101,2025-10-17 22:54:01
09:31:06,11.23,0.0,1009,1133732,卖盘,603101,2025-10-17 22:54:01
09:31:09,11.25,0.02,865,972136,买盘,603101,2025-10-17 22:54:01
09:31:12,11.22,-0.03,1712,1926174,卖盘,603101,2025-10-17 22:54:01
09:31:15,11.22,0.0,647,726556,卖盘,603101,2025-10-17 22:54:01
09:31:18,11.21,-0.01,488,547239,中性盘,603101,2025-10-17 22:54:01
09:31:21,11.2,-0.01,476,532838,卖盘,603101,2025-10-17 22:54:01
09:31:24,11.17,-0.03,32,35733,卖盘,603101,2025-10-17 22:54:01
09:31:27,11.18,0.01,477,532704,买盘,603101,2025-10-17 22:54:01
09:31:30,11.12,-0.06,313,348417,卖盘,603101,2025-10-17 22:54:01
09:31:33,11.12,0.0,3229,3611354,卖盘,603101,2025-10-17 22:54:01
09:31:36,11.15,0.03,734,818336,买盘,603101,2025-10-17 22:54:01
09:31:39,11.13,-0.02,644,719555,卖盘,603101,2025-10-17 22:54:01
09:31:42,11.15,0.02,655,731089,买盘,603101,2025-10-17 22:54:01
09:31:45,11.22,0.07,2021,2268785,买盘,603101,2025-10-17 22:54:01
09:31:48,11.22,0.0,1637,1832247,卖盘,603101,2025-10-17 22:54:01
09:31:51,11.32,0.1,1837,2075681,买盘,603101,2025-10-17 22:54:01
09:31:54,11.38,0.06,1174,1332157,买盘,603101,2025-10-17 22:54:01
09:31:57,11.42,0.04,872,993428,买盘,603101,2025-10-17 22:54:01
09:32:00,11.44,0.02,1331,1522707,买盘,603101,2025-10-17 22:54:01
09:32:03,11.5,0.06,1292,1482259,买盘,603101,2025-10-17 22:54:01
09:32:06,11.49,-0.01,1620,1860376,卖盘,603101,2025-10-17 22:54:01
09:32:09,11.49,0.0,1060,1219111,卖盘,603101,2025-10-17 22:54:01
