时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,12.15,0.15,22159,26923185,买盘,002040,2025-10-17 22:56:21
09:30:00,12.2,0.05,17592,21385167,买盘,002040,2025-10-17 22:56:21
09:30:03,12.28,0.08,9634,11782734,买盘,002040,2025-10-17 22:56:21
09:30:06,12.36,0.08,1856,2296024,买盘,002040,2025-10-17 22:56:21
09:30:09,12.45,0.09,1739,2164176,买盘,002040,2025-10-17 22:56:21
09:30:12,12.47,0.02,1436,1792597,买盘,002040,2025-10-17 22:56:21
09:30:15,12.52,0.05,3658,4581729,买盘,002040,2025-10-17 22:56:21
09:30:18,12.56,0.04,2429,3048823,买盘,002040,2025-10-17 22:56:21
09:30:21,12.6,0.04,1212,1525583,买盘,002040,2025-10-17 22:56:21
09:30:24,12.55,-0.05,3735,4703705,卖盘,002040,2025-10-17 22:56:21
09:30:27,12.47,-0.08,4482,5606428,卖盘,002040,2025-10-17 22:56:21
09:30:30,12.46,-0.01,5664,7058587,卖盘,002040,2025-10-17 22:56:21
09:30:33,12.53,0.07,8780,10974417,买盘,002040,2025-10-17 22:56:21
09:30:36,12.59,0.06,5075,6378206,买盘,002040,2025-10-17 22:56:21
09:30:39,12.66,0.07,1468,1855343,买盘,002040,2025-10-17 22:56:21
09:30:42,12.72,0.06,2913,3712165,买盘,002040,2025-10-17 22:56:21
09:30:45,12.8,0.08,2089,2662967,买盘,002040,2025-10-17 22:56:21
09:30:48,12.84,0.04,2611,3338657,买盘,002040,2025-10-17 22:56:21
09:30:51,12.86,0.02,2603,3335858,买盘,002040,2025-10-17 22:56:21
09:30:54,12.79,-0.07,1730,2215235,卖盘,002040,2025-10-17 22:56:21
09:30:57,12.53,-0.26,1738,2198823,卖盘,002040,2025-10-17 22:56:21
09:31:00,12.67,0.14,1894,2394424,买盘,002040,2025-10-17 22:56:21
09:31:03,12.67,0.0,2071,2626459,买盘,002040,2025-10-17 22:56:21
09:31:06,12.66,-0.01,2633,3340896,卖盘,002040,2025-10-17 22:56:21
09:31:09,12.61,-0.05,2619,3310942,卖盘,002040,2025-10-17 22:56:21
09:31:12,12.54,-0.07,1768,2225987,卖盘,002040,2025-10-17 22:56:21
09:31:15,12.54,0.0,1113,1397689,卖盘,002040,2025-10-17 22:56:21
09:31:18,12.55,0.01,3942,4966374,中性盘,002040,2025-10-17 22:56:21
09:31:21,12.61,0.06,818,1030337,中性盘,002040,2025-10-17 22:56:21
09:31:24,12.66,0.05,935,1182082,买盘,002040,2025-10-17 22:56:21
09:31:27,12.64,-0.02,1332,1681454,中性盘,002040,2025-10-17 22:56:21
09:31:30,12.6,-0.04,1333,1679719,中性盘,002040,2025-10-17 22:56:21
09:31:33,12.57,-0.03,1833,2309529,中性盘,002040,2025-10-17 22:56:21
09:31:36,12.63,0.06,1110,1398457,买盘,002040,2025-10-17 22:56:21
09:31:39,12.58,-0.05,1411,1774357,中性盘,002040,2025-10-17 22:56:21
09:31:42,12.63,0.05,2852,3607526,中性盘,002040,2025-10-17 22:56:21
09:31:45,12.64,0.01,884,1115763,买盘,002040,2025-10-17 22:56:21
09:31:48,12.64,0.0,1411,1788231,卖盘,002040,2025-10-17 22:56:21
09:31:51,12.71,0.07,705,895157,买盘,002040,2025-10-17 22:56:21
09:31:54,12.8,0.09,1632,2086008,买盘,002040,2025-10-17 22:56:21
09:31:57,12.84,0.04,956,1222241,买盘,002040,2025-10-17 22:56:21
09:32:00,12.84,0.0,2736,3501255,买盘,002040,2025-10-17 22:56:21
09:32:03,12.78,-0.06,1933,2468906,中性盘,002040,2025-10-17 22:56:21
09:32:06,12.78,0.0,1458,1857011,买盘,002040,2025-10-17 22:56:21
09:32:09,12.69,-0.09,2573,3269418,卖盘,002040,2025-10-17 22:56:21
09:32:12,12.69,0.0,3737,4758879,卖盘,002040,2025-10-17 22:56:21
09:32:15,12.76,0.07,1658,2109365,买盘,002040,2025-10-17 22:56:21
09:32:18,12.76,0.0,2567,3281243,卖盘,002040,2025-10-17 22:56:21
09:32:21,12.79,0.03,615,786800,买盘,002040,2025-10-17 22:56:21
09:32:24,12.8,0.01,1844,2359792,买盘,002040,2025-10-17 22:56:21
09:32:27,12.8,0.0,806,1031915,卖盘,002040,2025-10-17 22:56:21
09:32:30,12.78,-0.02,3559,4552817,卖盘,002040,2025-10-17 22:56:21
09:32:33,12.77,-0.01,1721,2195500,中性盘,002040,2025-10-17 22:56:21
09:32:36,12.76,-0.01,696,886256,中性盘,002040,2025-10-17 22:56:21
09:32:39,12.7,-0.06,1109,1406492,卖盘,002040,2025-10-17 22:56:21
09:32:42,12.69,-0.01,474,601727,卖盘,002040,2025-10-17 22:56:21
09:32:45,12.63,-0.06,1286,1626222,卖盘,002040,2025-10-17 22:56:21
09:32:48,12.62,-0.01,2130,2686426,卖盘,002040,2025-10-17 22:56:21
09:32:51,12.59,-0.03,859,1083365,卖盘,002040,2025-10-17 22:56:21
09:32:54,12.59,0.0,1531,1930179,买盘,002040,2025-10-17 22:56:21
