时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,9.34,0.0,71980,67229320,卖盘,000626,2025-10-17 22:51:19
09:30:00,9.55,0.21,6461,6112902,买盘,000626,2025-10-17 22:51:19
09:30:03,9.65,0.1,8312,7970664,买盘,000626,2025-10-17 22:51:19
09:30:06,9.73,0.08,6526,6329460,买盘,000626,2025-10-17 22:51:19
09:30:09,9.75,0.02,13528,13188498,买盘,000626,2025-10-17 22:51:19
09:30:12,9.76,0.01,19368,18900269,买盘,000626,2025-10-17 22:51:19
09:30:15,9.76,0.0,18001,17567090,买盘,000626,2025-10-17 22:51:19
09:30:18,9.76,0.0,24569,23970601,卖盘,000626,2025-10-17 22:51:19
09:30:21,9.76,0.0,16641,16239801,卖盘,000626,2025-10-17 22:51:19
09:30:24,9.58,-0.18,9903,9580663,卖盘,000626,2025-10-17 22:51:19
09:30:27,9.54,-0.04,3164,3027903,卖盘,000626,2025-10-17 22:51:19
09:30:30,9.56,0.02,4129,3938834,买盘,000626,2025-10-17 22:51:19
09:30:33,9.56,0.0,2183,2094293,买盘,000626,2025-10-17 22:51:19
09:30:36,9.7,0.14,1952,1887475,买盘,000626,2025-10-17 22:51:19
09:30:39,9.76,0.06,3951,3835929,买盘,000626,2025-10-17 22:51:19
09:30:42,9.76,0.0,9314,9078400,买盘,000626,2025-10-17 22:51:19
09:30:45,9.76,0.0,4774,4650326,买盘,000626,2025-10-17 22:51:19
09:30:48,9.76,0.0,2961,2889936,卖盘,000626,2025-10-17 22:51:19
09:30:51,9.76,0.0,4480,4372216,卖盘,000626,2025-10-17 22:51:19
09:30:54,9.76,0.0,1561,1523536,卖盘,000626,2025-10-17 22:51:19
09:30:57,9.76,0.0,8849,8636624,卖盘,000626,2025-10-17 22:51:19
09:31:00,9.76,0.0,1638,1598688,卖盘,000626,2025-10-17 22:51:19
09:31:03,9.76,0.0,830,810080,卖盘,000626,2025-10-17 22:51:19
09:31:06,9.76,0.0,5809,5669584,卖盘,000626,2025-10-17 22:51:19
09:31:09,9.76,0.0,868,847168,卖盘,000626,2025-10-17 22:51:19
09:31:12,9.76,0.0,522,509472,卖盘,000626,2025-10-17 22:51:19
09:31:15,9.76,0.0,799,779824,卖盘,000626,2025-10-17 22:51:19
09:31:18,9.76,0.0,1600,1561600,卖盘,000626,2025-10-17 22:51:19
09:31:21,9.6,-0.16,56393,55022949,卖盘,000626,2025-10-17 22:51:19
09:31:24,9.56,-0.04,2614,2511206,卖盘,000626,2025-10-17 22:51:19
09:31:27,9.54,-0.02,1569,1501087,卖盘,000626,2025-10-17 22:51:19
09:31:30,9.52,-0.02,2672,2545777,卖盘,000626,2025-10-17 22:51:19
09:31:33,9.54,0.02,1635,1558784,中性盘,000626,2025-10-17 22:51:19
09:31:36,9.6,0.06,2066,1970832,买盘,000626,2025-10-17 22:51:19
09:31:39,9.61,0.01,1415,1357760,买盘,000626,2025-10-17 22:51:19
09:31:42,9.67,0.06,1220,1176411,买盘,000626,2025-10-17 22:51:19
09:31:45,9.74,0.07,1917,1854603,买盘,000626,2025-10-17 22:51:19
