时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,14.47,0.02,2695,3899274,买盘,002654,2025-10-17 22:49:25
09:30:00,14.39,-0.08,1109,1600560,卖盘,002654,2025-10-17 22:49:25
09:30:03,14.45,0.06,1480,2136500,买盘,002654,2025-10-17 22:49:25
09:30:06,14.44,-0.01,3056,4413806,卖盘,002654,2025-10-17 22:49:25
09:30:09,14.45,0.01,720,1040523,买盘,002654,2025-10-17 22:49:25
09:30:12,14.46,0.01,992,1434571,买盘,002654,2025-10-17 22:49:25
09:30:15,14.52,0.06,797,1154502,买盘,002654,2025-10-17 22:49:25
09:30:18,14.53,0.01,129,187474,买盘,002654,2025-10-17 22:49:25
09:30:21,14.54,0.01,264,383743,买盘,002654,2025-10-17 22:49:25
09:30:24,14.53,-0.01,1676,2436631,卖盘,002654,2025-10-17 22:49:25
09:30:27,14.48,-0.05,1569,2275919,卖盘,002654,2025-10-17 22:49:25
09:30:30,14.43,-0.05,1194,1727014,卖盘,002654,2025-10-17 22:49:25
09:30:33,14.44,0.01,476,687332,买盘,002654,2025-10-17 22:49:25
09:30:36,14.48,0.04,1342,1941425,买盘,002654,2025-10-17 22:49:25
09:30:39,14.43,-0.05,648,935458,卖盘,002654,2025-10-17 22:49:25
09:30:42,14.41,-0.02,315,454502,卖盘,002654,2025-10-17 22:49:25
09:30:45,14.41,0.0,210,303048,卖盘,002654,2025-10-17 22:49:25
09:30:48,14.48,0.07,239,345294,买盘,002654,2025-10-17 22:49:25
09:30:51,14.46,-0.02,269,388857,卖盘,002654,2025-10-17 22:49:25
09:30:54,14.46,0.0,94,135746,买盘,002654,2025-10-17 22:49:25
09:30:57,14.44,-0.02,217,313307,买盘,002654,2025-10-17 22:49:25
09:31:00,14.43,-0.01,130,187540,卖盘,002654,2025-10-17 22:49:25
09:31:03,14.42,-0.01,963,1388826,卖盘,002654,2025-10-17 22:49:25
09:31:06,14.42,0.0,98,141349,买盘,002654,2025-10-17 22:49:25
09:31:09,14.44,0.02,266,383731,买盘,002654,2025-10-17 22:49:25
09:31:12,14.42,-0.02,376,542932,卖盘,002654,2025-10-17 22:49:25
09:31:15,14.43,0.01,320,462585,中性盘,002654,2025-10-17 22:49:25
09:31:18,14.47,0.04,525,759065,中性盘,002654,2025-10-17 22:49:25
09:31:21,14.48,0.01,377,545959,中性盘,002654,2025-10-17 22:49:25
09:31:24,14.51,0.03,338,489849,买盘,002654,2025-10-17 22:49:25
09:31:27,14.51,0.0,261,378528,买盘,002654,2025-10-17 22:49:25
09:31:30,14.52,0.01,18,26129,买盘,002654,2025-10-17 22:49:25
09:31:33,14.54,0.02,854,1239714,买盘,002654,2025-10-17 22:49:25
09:31:36,14.55,0.01,51,74179,买盘,002654,2025-10-17 22:49:25
