时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:03,17.2,0.0,489,841080,卖盘,605303,2025-10-17 22:55:21
09:30:03,17.2,0.0,13,22360,卖盘,605303,2025-10-17 22:55:21
09:30:06,17.21,0.01,42,72270,中性盘,605303,2025-10-17 22:55:21
09:30:09,17.25,0.04,101,174011,买盘,605303,2025-10-17 22:55:21
09:30:12,17.19,-0.06,301,518400,卖盘,605303,2025-10-17 22:55:21
09:30:15,17.19,0.0,375,647124,卖盘,605303,2025-10-17 22:55:21
09:30:18,17.16,-0.03,258,443573,卖盘,605303,2025-10-17 22:55:21
09:30:21,17.21,0.05,121,208401,买盘,605303,2025-10-17 22:55:21
09:30:24,17.28,0.07,204,351512,中性盘,605303,2025-10-17 22:55:21
09:30:27,17.28,0.0,325,564463,卖盘,605303,2025-10-17 22:55:21
09:30:30,17.29,0.01,112,194640,卖盘,605303,2025-10-17 22:55:21
09:30:33,17.3,0.01,76,131944,中性盘,605303,2025-10-17 22:55:21
09:30:36,17.47,0.17,116,202793,买盘,605303,2025-10-17 22:55:21
09:30:39,17.47,0.0,64,111716,卖盘,605303,2025-10-17 22:55:21
09:30:42,17.52,0.05,93,162381,买盘,605303,2025-10-17 22:55:21
09:30:45,17.5,-0.02,155,271072,卖盘,605303,2025-10-17 22:55:21
09:30:48,17.5,0.0,54,94596,买盘,605303,2025-10-17 22:55:21
09:30:51,17.53,0.03,246,430637,买盘,605303,2025-10-17 22:55:21
09:30:54,17.53,0.0,138,241812,买盘,605303,2025-10-17 22:55:21
09:30:57,17.53,0.0,39,68371,卖盘,605303,2025-10-17 22:55:21
09:31:00,17.5,-0.03,100,175309,卖盘,605303,2025-10-17 22:55:21
09:31:03,17.5,0.0,50,87524,卖盘,605303,2025-10-17 22:55:21
09:31:06,17.49,-0.01,52,90990,卖盘,605303,2025-10-17 22:55:21
09:31:09,17.47,-0.02,336,587885,卖盘,605303,2025-10-17 22:55:21
09:31:12,17.44,-0.03,188,328479,卖盘,605303,2025-10-17 22:55:21
09:31:15,17.49,0.05,322,562842,买盘,605303,2025-10-17 22:55:21
09:31:18,17.5,0.01,111,194253,买盘,605303,2025-10-17 22:55:21
09:31:21,17.5,0.0,278,486505,卖盘,605303,2025-10-17 22:55:21
09:31:24,17.51,0.01,42,73546,中性盘,605303,2025-10-17 22:55:21
09:31:27,17.54,0.03,245,429379,买盘,605303,2025-10-17 22:55:21
09:31:30,17.56,0.02,97,170261,买盘,605303,2025-10-17 22:55:21
09:31:33,17.59,0.03,114,200445,买盘,605303,2025-10-17 22:55:21
09:31:36,17.6,0.01,59,103848,买盘,605303,2025-10-17 22:55:21
09:31:39,17.65,0.05,44,77502,买盘,605303,2025-10-17 22:55:21
09:31:42,17.65,0.0,117,206489,买盘,605303,2025-10-17 22:55:21
09:31:45,17.64,-0.01,125,220580,卖盘,605303,2025-10-17 22:55:21
09:31:48,17.62,-0.02,171,301809,卖盘,605303,2025-10-17 22:55:21
09:31:51,17.62,0.0,89,156829,卖盘,605303,2025-10-17 22:55:21
09:31:54,17.58,-0.04,329,579277,卖盘,605303,2025-10-17 22:55:21
09:31:57,17.57,-0.01,118,207420,卖盘,605303,2025-10-17 22:55:21
09:32:00,17.55,-0.02,35,61352,卖盘,605303,2025-10-17 22:55:21
09:32:03,17.5,-0.05,4,7004,卖盘,605303,2025-10-17 22:55:21
09:32:06,17.51,0.01,144,251980,中性盘,605303,2025-10-17 22:55:21
09:32:09,17.54,0.03,120,210230,买盘,605303,2025-10-17 22:55:21
09:32:12,17.55,0.01,148,259631,买盘,605303,2025-10-17 22:55:21
09:32:15,17.53,-0.02,66,115812,卖盘,605303,2025-10-17 22:55:21
09:32:18,17.53,0.0,30,52601,卖盘,605303,2025-10-17 22:55:21
09:32:21,17.53,0.0,27,47331,卖盘,605303,2025-10-17 22:55:21
09:32:24,17.53,0.0,1,1753,买盘,605303,2025-10-17 22:55:21
09:32:27,17.53,0.0,193,338234,买盘,605303,2025-10-17 22:55:21
09:32:30,17.48,-0.05,11,19241,卖盘,605303,2025-10-17 22:55:21
09:32:33,17.48,0.0,16,27968,卖盘,605303,2025-10-17 22:55:21
09:32:36,17.46,-0.02,2,3492,卖盘,605303,2025-10-17 22:55:21
09:32:39,17.48,0.02,29,50643,买盘,605303,2025-10-17 22:55:21
09:32:42,17.45,-0.03,36,62818,卖盘,605303,2025-10-17 22:55:21
09:32:45,17.44,-0.01,10,17440,卖盘,605303,2025-10-17 22:55:21
09:32:48,17.44,0.0,128,223228,卖盘,605303,2025-10-17 22:55:21
09:32:51,17.61,0.17,909,1593019,买盘,605303,2025-10-17 22:55:21
09:32:54,17.59,-0.02,218,383769,卖盘,605303,2025-10-17 22:55:21
09:32:57,17.55,-0.04,20,35105,卖盘,605303,2025-10-17 22:55:21
09:33:00,17.57,0.02,13,22855,中性盘,605303,2025-10-17 22:55:21
09:33:03,17.54,-0.03,10,17543,卖盘,605303,2025-10-17 22:55:21
09:33:06,17.56,0.02,6,10535,买盘,605303,2025-10-17 22:55:21
09:33:12,17.55,-0.01,8,14039,买盘,605303,2025-10-17 22:55:21
09:33:15,17.53,-0.02,67,117255,中性盘,605303,2025-10-17 22:55:21
09:33:18,17.53,0.0,26,45560,买盘,605303,2025-10-17 22:55:21
09:33:21,17.45,-0.08,277,485194,卖盘,605303,2025-10-17 22:55:21
09:33:24,17.45,0.0,1,1745,卖盘,605303,2025-10-17 22:55:21
09:33:27,17.46,0.01,27,47142,卖盘,605303,2025-10-17 22:55:21
09:33:30,17.45,-0.01,10,17453,卖盘,605303,2025-10-17 22:55:21
09:33:33,17.49,0.04,37,64682,买盘,605303,2025-10-17 22:55:21
09:33:36,17.45,-0.04,28,48913,卖盘,605303,2025-10-17 22:55:21
09:33:39,17.49,0.04,25,43725,卖盘,605303,2025-10-17 22:55:21
09:33:42,17.46,-0.03,13,22698,卖盘,605303,2025-10-17 22:55:21
09:33:45,17.49,0.03,6,10479,买盘,605303,2025-10-17 22:55:21
09:33:48,17.49,0.0,74,129419,买盘,605303,2025-10-17 22:55:21
09:33:51,17.49,0.0,32,55988,卖盘,605303,2025-10-17 22:55:21
09:33:54,17.49,0.0,42,73458,卖盘,605303,2025-10-17 22:55:21
09:33:57,17.49,0.0,22,38478,卖盘,605303,2025-10-17 22:55:21
09:34:00,17.5,0.01,54,94462,买盘,605303,2025-10-17 22:55:21
09:34:03,17.47,-0.03,4,6988,卖盘,605303,2025-10-17 22:55:21
09:34:09,17.49,0.02,24,41909,买盘,605303,2025-10-17 22:55:21
09:34:15,17.45,-0.04,7,12215,卖盘,605303,2025-10-17 22:55:21
09:34:18,17.45,0.0,29,50605,中性盘,605303,2025-10-17 22:55:21
09:34:21,17.44,-0.01,58,101157,卖盘,605303,2025-10-17 22:55:21
09:34:24,17.43,-0.01,59,102940,中性盘,605303,2025-10-17 22:55:21
09:34:27,17.43,0.0,16,27888,卖盘,605303,2025-10-17 22:55:21
09:34:30,17.43,0.0,527,915700,买盘,605303,2025-10-17 22:55:21
09:34:33,17.45,0.02,171,298557,中性盘,605303,2025-10-17 22:55:21
