时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:00,19.96,0.46,65351,130440596,买盘,000969,2025-10-17 22:51:02
09:30:00,20.2,0.24,13820,27766908,买盘,000969,2025-10-17 22:51:02
09:30:03,20.43,0.23,12650,25626916,买盘,000969,2025-10-17 22:51:02
09:30:06,20.29,-0.14,3731,7599981,卖盘,000969,2025-10-17 22:51:02
09:30:09,20.35,0.06,4374,8895274,买盘,000969,2025-10-17 22:51:02
09:30:12,20.44,0.09,3614,7374458,买盘,000969,2025-10-17 22:51:02
09:30:15,20.48,0.04,3739,7655741,买盘,000969,2025-10-17 22:51:02
09:30:18,20.5,0.02,4586,9401403,买盘,000969,2025-10-17 22:51:02
09:30:21,20.52,0.02,3999,8209607,买盘,000969,2025-10-17 22:51:02
09:30:24,20.55,0.03,3610,7417364,卖盘,000969,2025-10-17 22:51:02
09:30:27,20.52,-0.03,8605,17699534,卖盘,000969,2025-10-17 22:51:02
09:30:30,20.48,-0.04,10007,20513966,卖盘,000969,2025-10-17 22:51:02
09:30:33,20.27,-0.21,14306,29194334,卖盘,000969,2025-10-17 22:51:02
09:30:36,20.26,-0.01,2547,5157528,卖盘,000969,2025-10-17 22:51:02
09:30:39,20.18,-0.08,2699,5461492,卖盘,000969,2025-10-17 22:51:02
09:30:42,20.18,0.0,3907,7897460,卖盘,000969,2025-10-17 22:51:02
09:30:45,20.22,0.04,2449,4959116,中性盘,000969,2025-10-17 22:51:02
09:30:48,20.24,0.02,2143,4346201,中性盘,000969,2025-10-17 22:51:02
09:30:51,20.27,0.03,3124,6322227,买盘,000969,2025-10-17 22:51:02
09:30:54,20.13,-0.14,3698,7456215,卖盘,000969,2025-10-17 22:51:02
09:30:57,20.16,0.03,1795,3612849,买盘,000969,2025-10-17 22:51:02
09:31:00,20.0,-0.16,12838,25707436,卖盘,000969,2025-10-17 22:51:02
09:31:03,19.97,-0.03,4535,9068832,卖盘,000969,2025-10-17 22:51:02
09:31:06,19.95,-0.02,9440,18851794,卖盘,000969,2025-10-17 22:51:02
09:31:09,19.92,-0.03,2596,5170498,卖盘,000969,2025-10-17 22:51:02
09:31:12,19.88,-0.04,3659,7267322,卖盘,000969,2025-10-17 22:51:02
09:31:15,19.82,-0.06,6429,12768813,中性盘,000969,2025-10-17 22:51:02
09:31:18,19.91,0.09,6915,13762620,买盘,000969,2025-10-17 22:51:02
09:31:21,19.92,0.01,5180,10330819,中性盘,000969,2025-10-17 22:51:02
09:31:24,20.06,0.14,2408,4805391,买盘,000969,2025-10-17 22:51:02
09:31:27,20.0,-0.06,1147,2295161,中性盘,000969,2025-10-17 22:51:02
09:31:30,20.04,0.04,2699,5405561,中性盘,000969,2025-10-17 22:51:02
09:31:33,20.0,-0.04,1637,3275641,卖盘,000969,2025-10-17 22:51:02
09:31:36,20.03,0.03,1799,3602708,买盘,000969,2025-10-17 22:51:02
09:31:39,20.0,-0.03,3632,7276891,卖盘,000969,2025-10-17 22:51:02
09:31:42,20.17,0.17,2210,4437346,买盘,000969,2025-10-17 22:51:02
09:31:45,20.22,0.05,1765,3551167,买盘,000969,2025-10-17 22:51:02
09:31:48,20.24,0.02,1668,3373754,买盘,000969,2025-10-17 22:51:02
09:31:51,20.23,-0.01,1146,2320759,中性盘,000969,2025-10-17 22:51:02
09:31:54,20.33,0.1,1901,3852540,买盘,000969,2025-10-17 22:51:02
09:31:57,20.36,0.03,1209,2459182,买盘,000969,2025-10-17 22:51:02
09:32:00,20.4,0.04,1019,2076914,买盘,000969,2025-10-17 22:51:02
09:32:03,20.44,0.04,1485,3032765,买盘,000969,2025-10-17 22:51:02
09:32:06,20.44,0.0,1798,3677178,买盘,000969,2025-10-17 22:51:02
09:32:09,20.43,-0.01,3785,7740131,卖盘,000969,2025-10-17 22:51:02
09:32:12,20.43,0.0,3527,7204594,买盘,000969,2025-10-17 22:51:02
09:32:15,20.4,-0.03,4221,8605032,卖盘,000969,2025-10-17 22:51:02
09:32:18,20.34,-0.06,3843,7820768,卖盘,000969,2025-10-17 22:51:02
09:32:21,20.18,-0.16,4500,9109619,卖盘,000969,2025-10-17 22:51:02
