时间,成交价,价格变动,成交量,成交额,买卖盘性质,股票代码,采集时间
09:25:01,8.73,0.03,22956,20040588,买盘,600078,2025-10-17 22:48:09
09:30:01,8.78,0.05,2707,2371948,买盘,600078,2025-10-17 22:48:09
09:30:04,8.75,-0.03,4885,4282854,卖盘,600078,2025-10-17 22:48:09
09:30:07,8.79,0.04,5271,4636828,中性盘,600078,2025-10-17 22:48:09
09:30:10,8.8,0.01,2513,2209479,中性盘,600078,2025-10-17 22:48:09
09:30:13,8.83,0.03,3009,2649570,买盘,600078,2025-10-17 22:48:09
09:30:16,8.81,-0.02,1262,1113489,卖盘,600078,2025-10-17 22:48:09
09:30:19,8.81,0.0,1606,1415209,卖盘,600078,2025-10-17 22:48:09
09:30:22,8.75,-0.06,3303,2901755,卖盘,600078,2025-10-17 22:48:09
09:30:25,8.78,0.03,2302,2018691,中性盘,600078,2025-10-17 22:48:09
09:30:28,8.75,-0.03,3185,2802498,卖盘,600078,2025-10-17 22:48:09
09:30:31,8.75,0.0,5387,4744970,卖盘,600078,2025-10-17 22:48:09
09:30:34,8.78,0.03,2260,1981991,中性盘,600078,2025-10-17 22:48:09
09:30:37,8.78,0.0,1767,1549363,买盘,600078,2025-10-17 22:48:09
09:30:40,8.78,0.0,2928,2566486,买盘,600078,2025-10-17 22:48:09
09:30:43,8.8,0.02,4789,4210230,买盘,600078,2025-10-17 22:48:09
09:30:46,8.79,-0.01,1425,1254673,卖盘,600078,2025-10-17 22:48:09
09:30:49,8.8,0.01,996,877606,买盘,600078,2025-10-17 22:48:09
09:30:52,8.8,0.0,1971,1735612,卖盘,600078,2025-10-17 22:48:09
09:30:55,8.82,0.02,1352,1192170,买盘,600078,2025-10-17 22:48:09
09:30:58,8.85,0.03,653,575748,买盘,600078,2025-10-17 22:48:09
09:31:01,8.84,-0.01,1049,927560,卖盘,600078,2025-10-17 22:48:09
09:31:04,8.84,0.0,1560,1378654,买盘,600078,2025-10-17 22:48:09
09:31:07,8.82,-0.02,2275,2005420,卖盘,600078,2025-10-17 22:48:09
09:31:10,8.78,-0.04,904,796408,卖盘,600078,2025-10-17 22:48:09
09:31:13,8.77,-0.01,8571,7497336,卖盘,600078,2025-10-17 22:48:09
09:31:16,8.73,-0.04,2517,2202972,卖盘,600078,2025-10-17 22:48:09
09:31:19,8.77,0.04,1553,1359300,买盘,600078,2025-10-17 22:48:09
09:31:22,8.74,-0.03,1233,1080310,卖盘,600078,2025-10-17 22:48:09
09:31:25,8.75,0.01,702,615668,卖盘,600078,2025-10-17 22:48:09
09:31:28,8.74,-0.01,1165,1021067,卖盘,600078,2025-10-17 22:48:09
09:31:31,8.74,0.0,1253,1096780,卖盘,600078,2025-10-17 22:48:09
09:31:34,8.75,0.01,1053,921240,买盘,600078,2025-10-17 22:48:09
09:31:37,8.76,0.01,1048,919366,中性盘,600078,2025-10-17 22:48:09
09:31:40,8.72,-0.04,4063,3553141,卖盘,600078,2025-10-17 22:48:09
09:31:43,8.72,0.0,3109,2711854,买盘,600078,2025-10-17 22:48:09
09:31:46,8.76,0.04,1141,999769,买盘,600078,2025-10-17 22:48:09
09:31:49,8.78,0.02,1099,964936,买盘,600078,2025-10-17 22:48:09
09:31:52,8.82,0.04,2300,2026374,买盘,600078,2025-10-17 22:48:09
09:31:55,8.86,0.04,1103,975422,买盘,600078,2025-10-17 22:48:09
09:31:58,8.91,0.05,3098,2754765,买盘,600078,2025-10-17 22:48:09
09:32:01,8.99,0.08,3710,3322726,买盘,600078,2025-10-17 22:48:09
09:32:04,9.01,0.02,1218,1095465,买盘,600078,2025-10-17 22:48:09
09:32:07,9.02,0.01,728,656541,买盘,600078,2025-10-17 22:48:09
09:32:10,8.99,-0.03,5217,4691504,卖盘,600078,2025-10-17 22:48:09
09:32:13,8.99,0.0,1962,1762680,买盘,600078,2025-10-17 22:48:09
09:32:16,9.0,0.01,1287,1155861,中性盘,600078,2025-10-17 22:48:09
09:32:19,9.0,0.0,3215,2895873,买盘,600078,2025-10-17 22:48:09
09:32:22,9.04,0.04,2169,1963168,买盘,600078,2025-10-17 22:48:09
09:32:25,9.07,0.03,3570,3233799,买盘,600078,2025-10-17 22:48:09
09:32:28,9.08,0.01,1627,1478166,买盘,600078,2025-10-17 22:48:09
09:32:31,9.1,0.02,2240,2038524,买盘,600078,2025-10-17 22:48:09
09:32:34,9.1,0.0,1317,1195847,卖盘,600078,2025-10-17 22:48:09
09:32:37,9.08,-0.02,2728,2482450,卖盘,600078,2025-10-17 22:48:09
09:32:40,9.08,0.0,2749,2493818,买盘,600078,2025-10-17 22:48:09
09:32:43,9.08,0.0,4789,4346476,买盘,600078,2025-10-17 22:48:09
09:32:46,9.06,-0.02,3109,2827284,卖盘,600078,2025-10-17 22:48:09
09:32:49,9.08,0.02,3315,3007348,买盘,600078,2025-10-17 22:48:09
09:32:52,9.08,0.0,1741,1582724,卖盘,600078,2025-10-17 22:48:09
09:32:55,9.08,0.0,2846,2585869,卖盘,600078,2025-10-17 22:48:09
09:32:58,9.1,0.02,1141,1037241,买盘,600078,2025-10-17 22:48:09
09:33:01,9.1,0.0,1670,1520016,卖盘,600078,2025-10-17 22:48:09
